,Geo Biomass Other - TWh,Solar Generation - TWh,Wind Generation - TWh,Hydro Generation - TWh,country_id,year_id
1,0.0,0.0,0.0,0.0,1,1
2,0.0,0.0,0.0,0.0,1,2
3,0.0,0.0,0.0,0.0,1,3
4,0.0,0.0,0.0,0.0,1,4
5,0.0,0.0,0.0,0.0,1,5
6,0.0,0.0,0.0,0.0,1,6
7,0.0,0.0,0.0,0.0,1,7
8,0.0,0.0,0.0,0.0,1,8
9,0.0,0.0,0.0,0.0,1,9
10,0.0,0.0,0.0,0.0,1,10
11,0.0,0.0,0.0,0.0,1,11
12,0.0,0.0,0.0,0.0,1,12
13,0.0,0.0,0.0,0.0,1,13
14,0.0,0.0,0.0,0.0,1,14
15,0.0,0.0,0.0,0.0,1,15
16,0.0,0.0,0.0,0.0,1,16
17,0.0,0.0,0.0,0.0,1,17
18,0.0,0.0,0.0,0.0,1,18
19,0.0,0.0,0.0,0.0,1,19
20,0.0,0.0,0.0,0.0,1,20
21,0.0,0.0,0.0,0.0,1,21
22,0.0,0.0,0.0,0.0,1,22
23,0.0,0.0,0.0,13.905635,2,23
24,0.0,0.0,0.0,15.510005,2,24
25,0.0,0.0,0.0,16.190636,2,25
26,0.0,0.0,0.0,18.938341,2,26
27,0.0,0.0,0.0,22.100891,2,27
28,0.0,0.0,0.0,27.630428,2,28
29,0.164,0.0,0.0,26.01339,2,29
30,0.165,0.0,0.0,29.633196,2,30
31,0.17,0.0,0.0,31.345707,2,31
32,0.175,0.0,0.0,35.667076,2,32
33,0.172,0.0,0.0,37.717968,2,33
34,0.185,0.0,0.0,41.797634,2,34
35,0.189,0.0,0.0,45.92877,2,35
36,0.195,0.0,0.0,46.306942,2,36
37,0.201,0.0,0.0,49.56523,2,37
38,0.207,0.0,0.0,48.311787,2,38
39,0.218,0.0,0.0,50.192905,2,39
40,0.236,0.0,0.0,50.206238,2,40
41,0.23,0.0,0.0,45.24716,2,41
42,0.234,0.0,0.0,44.489975,2,42
43,0.269,0.0,0.0,49.449684,2,43
44,0.659,0.0,0.0,51.14537,2,44
45,0.658,0.0,0.0,49.05646,2,45
46,0.626,0.0,0.0,53.593452,2,46
47,0.617,0.0,0.0,56.27621,2,47
48,0.796,0.0,0.0,57.254658,2,48
49,0.812,0.0,0.0,60.65149,2,49
50,0.84225,0.0,0.0,57.86029,2,50
51,0.9377,0.0,0.002,56.682507,2,51
52,0.835,0.0,0.0054,57.59605,2,52
53,1.0187,0.0,0.0063,59.76888,2,53
54,1.258093,0.0,0.0071,62.31646,2,54
55,1.3866404,0.0,0.0072,63.852497,2,55
56,1.7125492,0.0,0.0076,66.654884,2,56
57,1.6961248,0.0,0.0198,70.68426,2,57
58,2.2690632,0.011941,0.1755,75.25581,2,1
59,2.3353527,0.01496,0.41558,80.86911,2,2
60,2.2864,0.016799714,0.44358402,85.02647,2,3
61,2.6224,0.020059295,0.535599,82.57461,2,4
62,2.9788496,0.02456688,0.7682805,87.21947,2,5
63,3.0096693,0.029383464,0.7803821,88.83774,2,6
64,3.7704048,0.03791205,0.8525656,92.049355,2,7
65,3.1420484,0.050479364,1.0162233,95.19856,2,8
66,3.2673957,0.07265389,1.3117782,96.96721,2,9
67,3.5627222,0.09582155,1.5892309,99.56114,2,10
68,3.764553,0.21605176,2.2845824,107.69848,2,11
69,3.8587685,0.6020893,2.386504,110.75051,2,12
70,4.0424066,0.99265915,2.5156302,111.22693,2,13
71,4.433249,0.7875202,3.5934472,117.65244,2,14
72,5.462047,1.9041501,5.060073,124.08204,2,15
73,7.1696815,3.2586064,8.9106865,120.4148,2,16
74,7.231852,5.3840914,11.176371,117.42635,2,17
75,7.6260357,7.7734146,12.457454,126.34168,2,18
76,8.17267,10.053543,14.769322,134.60007,2,19
77,8.262966,12.894289,19.331635,139.4176,2,20
78,8.066416,16.058805,21.302898,146.37308,2,21
79,8.026317,16.515236,24.41597,153.4187,2,22
80,0.0,0.0,0.0,13.905635,3,23
81,0.0,0.0,0.0,15.510004,3,24
82,0.0,0.0,0.0,16.190636,3,25
83,0.0,0.0,0.0,18.938341,3,26
84,0.0,0.0,0.0,22.10089,3,27
85,0.0,0.0,0.0,27.63043,3,28
86,0.164,0.0,0.0,26.013391,3,29
87,0.165,0.0,0.0,29.633196,3,30
88,0.17,0.0,0.0,31.345707,3,31
89,0.175,0.0,0.0,35.667076,3,32
90,0.172,0.0,0.0,37.71797,3,33
91,0.185,0.0,0.0,41.797634,3,34
92,0.189,0.0,0.0,45.92877,3,35
93,0.195,0.0,0.0,46.30694,3,36
94,0.201,0.0,0.0,49.56523,3,37
95,0.207,0.0,0.0,48.311783,3,38
96,0.218,0.0,0.0,50.192905,3,39
97,0.236,0.0,0.0,50.206238,3,40
98,0.23,0.0,0.0,45.24716,3,41
99,0.234,0.0,0.0,44.489975,3,42
100,0.269,0.0,0.0,49.449684,3,43
101,0.659,0.0,0.0,51.145374,3,44
102,0.658,0.0,0.0,49.05646,3,45
103,0.626,0.0,0.0,53.593456,3,46
104,0.617,0.0,0.0,56.276215,3,47
105,0.796,0.0,0.0,57.254658,3,48
106,0.812,0.0,0.0,60.65149,3,49
107,0.84225,0.0,0.0,57.86029,3,50
108,0.9377,0.0,0.002,56.682507,3,51
109,0.835,0.0,0.0054,57.59605,3,52
110,1.0187,0.0,0.0063,59.768875,3,53
111,1.2580931,0.0,0.0071,62.31646,3,54
112,1.3866404,0.0,0.0072,63.852497,3,55
113,1.7125493,0.0,0.0076,66.654884,3,56
114,1.6961248,0.0,0.0198,70.68426,3,57
115,2.2690632,0.011941,0.1755,75.25581,3,1
116,2.3353527,0.01496,0.41558,80.86912,3,2
117,2.2864,0.016799713,0.443584,85.02647,3,3
118,2.6224,0.020059297,0.535599,82.5746,3,4
119,2.9788496,0.02456688,0.7682805,87.21947,3,5
120,3.0096693,0.029383464,0.7803821,88.83773,3,6
