,Electricity from wind (TWh),Electricity from hydro (TWh),Electricity from solar (TWh),Other renewables including bioenergy (TWh),country_id,year_id
1,0.0,0.31,0.0,0.0,1,36
2,0.0,0.5,0.0,0.0,1,37
3,0.0,0.56,0.0,0.0,1,38
4,0.0,0.63,0.0,0.0,1,39
5,0.0,0.56,0.0,0.0,1,40
6,0.0,0.59,0.0,0.0,1,41
7,0.0,0.64,0.0,0.0,1,42
8,0.0,0.75,0.0,0.0,1,43
9,0.0,0.54,0.0,0.0,1,44
10,0.0,0.78,0.0,0.0,1,45
11,0.0,0.75,0.0,0.0,1,46
12,0.0,0.6,0.0,0.0,1,47
13,0.0,0.71,0.03,0.0,1,48
14,0.0,0.86,0.03,0.0,1,49
15,0.0,0.97,0.03,0.0,1,50
16,0.0,1.0,0.03,0.0,1,51
17,0.0,1.02,0.04,0.0,1,52
18,0.0,1.05,0.04,0.0,1,53
19,0.0,0.93,0.04,0.0,1,54
20,0.0,0.84,0.05,0.0,1,55
21,0.0,0.62,0.06,0.0,1,56
22,0.0,0.62,0.08,0.0,1,57
23,0.0,13.905635,0.0,0.0,2,1
24,0.0,15.510005,0.0,0.0,2,2
25,0.0,16.190636,0.0,0.0,2,3
26,0.0,18.938341,0.0,0.0,2,4
27,0.0,22.100891,0.0,0.0,2,5
28,0.0,27.630428,0.0,0.0,2,6
29,0.0,26.01339,0.0,0.164,2,7
30,0.0,29.633196,0.0,0.165,2,8
31,0.0,31.345707,0.0,0.17,2,9
32,0.0,35.667076,0.0,0.175,2,10
33,0.0,37.717968,0.0,0.172,2,11
34,0.0,41.797634,0.0,0.185,2,12
35,0.0,45.92877,0.0,0.189,2,13
36,0.0,46.306942,0.0,0.195,2,14
37,0.0,49.56523,0.0,0.201,2,15
38,0.0,48.311787,0.0,0.207,2,16
39,0.0,50.192905,0.0,0.218,2,17
40,0.0,50.206238,0.0,0.236,2,18
41,0.0,45.24716,0.0,0.23,2,19
42,0.0,44.489975,0.0,0.234,2,20
43,0.0,49.449684,0.0,0.269,2,21
44,0.0,51.14537,0.0,0.659,2,22
45,0.0,49.05646,0.0,0.658,2,23
46,0.0,53.593452,0.0,0.626,2,24
47,0.0,56.27621,0.0,0.617,2,25
48,0.0,57.254658,0.0,0.796,2,26
49,0.0,60.65149,0.0,0.812,2,27
50,0.0,57.86029,0.0,0.84225,2,28
51,0.002,56.682507,0.0,0.9377,2,29
52,0.0054,57.59605,0.0,0.835,2,30
53,0.0063,59.76888,0.0,1.0187,2,31
54,0.0071,62.31646,0.0,1.258093,2,32
55,0.0072,63.852497,0.0,1.3866404,2,33
56,0.0076,66.654884,0.0,1.7125492,2,34
57,0.0198,70.68426,0.0,1.6961248,2,35
58,0.23,74.520004,0.0,2.52,2,36
59,0.46,81.22,0.0,2.55,2,37
60,0.43,83.409996,0.02,2.4499998,2,38
61,0.61,81.68,0.02,2.71,2,39
62,0.78,86.54,0.02,3.18,2,40
63,0.83,88.65,0.02,3.81,2,41
64,0.87,91.85,0.03,3.66,2,42
65,1.18,93.92,0.03,3.6,2,43
66,1.2900001,95.56,0.04,3.92,2,44
67,1.6899999,98.61,0.06,4.31,2,45
68,2.37,109.5,0.39,4.6800003,2,46
69,2.44,110.57,0.49,4.8599997,2,47
70,2.35,111.14,0.53,4.85,2,48
71,3.5300002,116.39,0.51,5.39,2,49
72,5.55,121.68,1.8100001,8.309999,2,50
73,8.559999,119.33,3.2000003,10.65,2,51
74,10.48,118.520004,4.85,10.26,2,52
75,11.55,125.04,6.57,9.65,2,53
76,15.28,132.92,8.99,9.690001,2,54
77,18.51,135.51,13.849999,9.67,2,55
78,17.66,142.22,14.400001,9.29,2,56
79,20.89,145.22,17.12,9.51,2,57
80,0.0,13.905635,0.0,0.0,3,1
81,0.0,15.510004,0.0,0.0,3,2
82,0.0,16.190636,0.0,0.0,3,3
83,0.0,18.938341,0.0,0.0,3,4
84,0.0,22.10089,0.0,0.0,3,5
85,0.0,27.63043,0.0,0.0,3,6
86,0.0,26.013391,0.0,0.164,3,7
87,0.0,29.633196,0.0,0.165,3,8
88,0.0,31.345707,0.0,0.17,3,9
89,0.0,35.667076,0.0,0.175,3,10
90,0.0,37.71797,0.0,0.172,3,11
91,0.0,41.797634,0.0,0.185,3,12
92,0.0,45.92877,0.0,0.189,3,13
93,0.0,46.30694,0.0,0.195,3,14
94,0.0,49.56523,0.0,0.201,3,15
95,0.0,48.311783,0.0,0.207,3,16
96,0.0,50.192905,0.0,0.218,3,17
97,0.0,50.206238,0.0,0.236,3,18
98,0.0,45.24716,0.0,0.23,3,19
99,0.0,44.489975,0.0,0.234,3,20
100,0.0,49.449684,0.0,0.269,3,21
101,0.0,51.145374,0.0,0.659,3,22
102,0.0,49.05646,0.0,0.658,3,23
103,0.0,53.593456,0.0,0.626,3,24
104,0.0,56.276215,0.0,0.617,3,25
105,0.0,57.254658,0.0,0.796,3,26
106,0.0,60.65149,0.0,0.812,3,27
107,0.0,57.86029,0.0,0.84225,3,28
108,0.002,56.682507,0.0,0.9377,3,29
109,0.0054,57.59605,0.0,0.835,3,30
110,0.0063,59.768875,0.0,1.0187,3,31
111,0.0071,62.31646,0.0,1.2580931,3,32
112,0.0072,63.852497,0.0,1.3866404,3,33
113,0.0076,66.654884,0.0,1.7125493,3,34
114,0.0198,70.68426,0.0,1.6961248,3,35
115,0.1755,75.25581,0.011941,2.2690632,3,36
116,0.41558,80.86912,0.01496,2.3353527,3,37
117,0.443584,85.02647,0.016799713,2.2864,3,38
118,0.535599,82.5746,0.020059297,2.6224,3,39
119,0.7682805,87.21947,0.02456688,2.9788496,3,40
120,0.7803821,88.83773,0.029383464,3.0096693,3,41
121,0.8525656,92.049355,0.03791205,3.7704048,3,42
122,1.0162233,95.19856,0.050479364,3.1420484,3,43
123,1.3117782,96.96721,0.07265389,3.2673957,3,44
124,1.5892309,99.561134,0.09582156,3.5627222,3,45
125,2.2845824,107.69849,0.21605176,3.764553,3,46
126,2.386504,110.75051,0.6020893,3.8587687,3,47
127,2.5156302,111.22693,0.99265915,4.042407,3,48
128,3.5934472,117.65245,0.7875202,4.433249,3,49
129,5.060073,124.08205,1.9041501,5.462047,3,50
130,8.9106865,120.4148,3.2586064,7.1696815,3,51
131,11.176371,117.42635,5.3840914,7.231852,3,52
132,12.457454,126.34168,7.7734146,7.6260357,3,53
133,14.769322,134.60008,10.053543,8.17267,3,54
134,19.331633,139.4176,12.894289,8.262966,3,55
135,21.302898,146.37308,16.058805,8.066416,3,56
136,24.41597,153.41869,16.515236,8.026318,3,57
137,0.23,74.52,0.0,2.52,4,36
138,0.46,81.22,0.0,2.55,4,37
