,Entity,Code,Year,Solar Capacity,country_id,continent_id,year_id
0,Africa,,1996,0.0011124251999999,2,7,32
1,Africa,,1997,0.0031372757,2,7,33
2,Africa,,1998,0.0051621259999999,2,7,34
3,Africa,,1999,0.008199402,2,7,35
4,Africa,,2000,0.010927,2,7,36
5,Africa,,2001,0.013028999,2,7,37
6,Africa,,2002,0.015243,2,7,38
7,Africa,,2003,0.018019001,2,7,39
8,Africa,,2004,0.0219959999999999,2,7,40
9,Africa,,2005,0.025965,2,7,41
10,Africa,,2006,0.034268,2,7,42
11,Africa,,2007,0.046656002,2,7,43
12,Africa,,2008,0.063372997,2,7,44
13,Africa,,2009,0.106845,2,7,45
14,Africa,,2010,0.193842,2,7,46
15,Africa,,2011,0.2663879999999999,2,7,47
16,Africa,,2012,0.345954,2,7,48
17,Africa,,2013,0.6669729999999999,2,7,49
18,Africa,,2014,1.57312,2,7,50
19,Africa,,2015,1.930761,2,7,51
20,Africa,,2016,2.988417,2,7,52
21,Africa,,2017,4.711063,2,7,53
22,Africa,,2018,7.210268,2,7,54
23,Africa,,2019,8.415319,2,7,55
24,Africa,,2020,9.703859,2,7,56
25,Africa,,2021,10.30226,2,7,57
26,Africa (BP),,1996,0.0010124252,3,7,32
27,Africa (BP),,1997,0.0030372756,3,7,33
28,Africa (BP),,1998,0.005062126,3,7,34
29,Africa (BP),,1999,0.008099401,3,7,35
30,Africa (BP),,2000,0.010927,3,7,36
31,Africa (BP),,2001,0.013029,3,7,37
32,Africa (BP),,2002,0.015243,3,7,38
33,Africa (BP),,2003,0.018019,3,7,39
34,Africa (BP),,2004,0.0219959999999999,3,7,40
35,Africa (BP),,2005,0.025965,3,7,41
36,Africa (BP),,2006,0.034268,3,7,42
37,Africa (BP),,2007,0.046656,3,7,43
38,Africa (BP),,2008,0.063373,3,7,44
39,Africa (BP),,2009,0.106845,3,7,45
40,Africa (BP),,2010,0.193842,3,7,46
41,Africa (BP),,2011,0.2663879999999999,3,7,47
42,Africa (BP),,2012,0.345954,3,7,48
43,Africa (BP),,2013,0.6669729999999999,3,7,49
44,Africa (BP),,2014,1.57312,3,7,50
45,Africa (BP),,2015,1.930761,3,7,51
46,Africa (BP),,2016,2.988417,3,7,52
47,Africa (BP),,2017,4.711063,3,7,53
48,Africa (BP),,2018,7.210268,3,7,54
49,Africa (BP),,2019,8.415319,3,7,55
50,Africa (BP),,2020,9.703859,3,7,56
51,Africa (BP),,2021,10.30226,3,7,57
52,Algeria,DZA,1996,0.0,6,1,32
53,Algeria,DZA,1997,0.0,6,1,33
54,Algeria,DZA,1998,0.0,6,1,34
55,Algeria,DZA,1999,0.0,6,1,35
56,Algeria,DZA,2000,0.0,6,1,36
57,Algeria,DZA,2001,0.0,6,1,37
58,Algeria,DZA,2002,0.0,6,1,38
59,Algeria,DZA,2003,0.0,6,1,39
60,Algeria,DZA,2004,0.0,6,1,40
61,Algeria,DZA,2005,0.0,6,1,41
62,Algeria,DZA,2006,0.0,6,1,42
63,Algeria,DZA,2007,0.0,6,1,43
64,Algeria,DZA,2008,0.0,6,1,44
65,Algeria,DZA,2009,0.0,6,1,45
66,Algeria,DZA,2010,0.0,6,1,46
67,Algeria,DZA,2011,0.0,6,1,47
68,Algeria,DZA,2012,0.0,6,1,48
69,Algeria,DZA,2013,0.0,6,1,49
70,Algeria,DZA,2014,0.0011,6,1,50
